年度	リーグ	順位	選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
2013	C	11	中村　紀洋	(デ)	0.281	122	473	431	37	121	19	1	14	184	61	1	0	0	5	32	1	5	66	20	0.427	0.334
2013	C	12	和田　一浩	(中)	0.275	142	581	495	63	136	21	2	18	215	76	2	2	0	7	77	1	2	63	26	0.434	0.37
2013	C	13	石川　雄洋	(デ)	0.275	119	523	459	75	126	12	4	5	161	41	5	2	5	0	51	0	8	76	6	0.351	0.357
2013	C	14	大和	(神)	0.273	104	454	384	51	105	12	3	0	123	21	19	9	35	0	27	0	8	40	2	0.32	0.334
2013	C	15	丸　佳浩	(広)	0.273	140	601	506	82	138	25	5	14	215	58	29	15	5	4	85	5	1	103	6	0.425	0.376
2013	C	16	新井　貴浩	(神)	0.267	140	548	476	60	127	20	0	15	192	70	2	3	0	7	60	3	5	110	17	0.403	0.35
2013	C	17	坂本　勇人	(巨)	0.265	144	620	554	73	147	33	1	12	218	54	24	4	4	3	55	1	4	87	11	0.394	0.334
2013	C	18	荒波　翔	(デ)	0.258	126	490	445	65	115	23	3	2	150	30	19	9	4	2	37	2	2	96	9	0.337	0.317
2013	C	19	大島　洋平	(中)	0.248	140	555	499	68	124	18	2	3	155	27	19	9	10	3	37	1	6	69	2	0.311	0.306
2013	C	20	菊池　涼介	(広)	0.247	141	633	538	69	133	27	4	11	201	57	16	7	50	5	38	0	2	121	4	0.374	0.297
2013	C	21	クラーク	(中)	0.238	132	467	407	56	97	14	0	25	186	70	0	0	0	4	49	1	7	130	7	0.457	0.328
